NAME_0,NAME_1,NAME_2,GID_2,date_code,ndvi_value,date,year,source_file
Malawi,Kasungu,SC Njombwa,MWI.9.8_1,001MOD13A2,0.5275321428571429,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,SC Simlemba,MWI.9.9_1,001MOD13A2,0.4915119850187266,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,TA Chulu,MWI.9.10_1,001MOD13A2,0.4908517171717171,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,TA Kaluluma,MWI.9.11_1,001MOD13A2,0.5369209039548023,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,TA Kaomba,MWI.9.12_1,001MOD13A2,0.3536140495867769,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,TA Kapelula,MWI.9.13_1,001MOD13A2,0.3214950877192982,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,TA Mwase,MWI.9.14_1,001MOD13A2,0.4348085365853659,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,TA Santhe,MWI.9.15_1,001MOD13A2,0.5120826291079812,2013-01-01,2013,new2020_ndvi.csv
Malawi,Kasungu,TA Wimbe,MWI.9.16_1,001MOD13A2,0.5025798212005108,2013-01-01,2013,new2020_ndvi.csv
Malawi,Likoma,Lake Malawi,MWI.10.1_1,001MOD13A2,0.54168125,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,Lilongwe City,MWI.11.1_1,001MOD13A2,0.4583808,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,SC Chitekwele,MWI.11.2_1,001MOD13A2,0.54660125,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,SC Mtema,MWI.11.3_1,001MOD13A2,0.3510150684931507,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,SC Njewa,MWI.11.4_1,001MOD13A2,0.5722045454545456,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,SC Tsabango,MWI.11.5_1,001MOD13A2,0.3932879310344828,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Chadza,MWI.11.6_1,001MOD13A2,0.6586000000000001,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Chimutu,MWI.11.7_1,001MOD13A2,0.4864643874643874,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Chiseka,MWI.11.8_1,001MOD13A2,0.7030842375366569,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Chitukula,MWI.11.9_1,001MOD13A2,0.312971,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Kabudula,MWI.11.10_1,001MOD13A2,0.5978792735042736,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Kalolo,MWI.11.11_1,001MOD13A2,0.669151051625239,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Kalumba,MWI.11.12_1,001MOD13A2,0.5130780487804878,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Kalumbu,MWI.11.13_1,001MOD13A2,0.7194405714285715,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Khongoni,MWI.11.14_1,001MOD13A2,0.6376169387755103,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Malili,MWI.11.15_1,001MOD13A2,0.6370985347985348,2013-01-01,2013,new2020_ndvi.csv
Malawi,Lilongwe,TA Mazengera,MWI.11.16_1,001MOD13A2,0.4968155405405405,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,Lake Chilwa,MWI.12.1_1,001MOD13A2,0.1039711538461538,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,Lake Chiuta,MWI.12.2_1,001MOD13A2,0.6075270833333334,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,Liwonda National Park,MWI.12.3_1,001MOD13A2,0.6755412103746398,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,Liwonde Town,MWI.12.4_1,001MOD13A2,0.7194366666666667,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,SC Chamba,MWI.12.5_1,001MOD13A2,0.64440826446281,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,SC Chikweo,MWI.12.6_1,001MOD13A2,0.553018339100346,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,SC Chiwalo,MWI.12.7_1,001MOD13A2,0.4640177419354839,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,SC Mlomba,MWI.12.8_1,001MOD13A2,0.5902632716049383,2013-01-01,2013,new2020_ndvi.csv
Malawi,Machinga,SC Mposa,MWI.12.9_1,001MOD13A2,0.6596027472527473,2013-01-01,2013,new2020_ndvi.csv
