NAME_0,NAME_1,NAME_2,ID_2,mean_01.01,mean_01.09,mean_01.17,mean_01.25,mean_02.02,mean_02.10,mean_02.18,mean_02.26,mean_03.06,mean_03.14,mean_03.22,mean_03.30,mean_04.07,mean_04.15,mean_04.23,mean_05.01,mean_05.09,mean_05.17,mean_05.25,mean_06.02,mean_06.10,mean_06.18,mean_06.26,mean_07.04,mean_07.12,mean_07.20,mean_07.28,mean_08.05,mean_08.13,mean_08.21,mean_08.29,mean_09.06,mean_09.14,mean_09.22,mean_09.30,mean_10.08,mean_10.16,mean_10.24,mean_11.01,mean_11.09,mean_11.17,mean_11.25,mean_12.03,mean_12.11,mean_12.19,mean_12.27
Malawi,Ntchisi,SC Chilooko,MWI.23.2_1,31.858181818181833,29.170571428571463,27.514955752212416,27.69288321167886,29.015000000000043,29.620992366412224,26.015967365967413,25.146613995485325,23.080259740259805,25.506867469879523,26.92055194805198,25.636271186440695,24.112534246575365,24.629208633093526,27.433164556962083,27.095000000000027,27.983987341772206,26.308985736925536,27.12468354430382,23.773143350604528,26.646898734177284,26.301835443037987,25.713829787234033,25.849872813990487,25.97699367088609,25.807385620915056,28.382531645569657,29.461677215189923,31.55835443037978,29.990791139240514,31.525601265822786,33.02734177215194,34.185569620253204,34.62487341772152,39.3500949367089,38.206708860759534,,40.585917721519024,43.10550632911395,42.25629746835443,42.052979397781314,36.96845906902087,37.061714285714345,37.61539898132429,,
Malawi,Ntchisi,SC Nthondo,MWI.23.3_1,,29.66166666666669,25.549370078740196,27.280192307692346,27.43407185628746,28.321111111111122,26.52454545454549,26.858591549295795,21.397857142857163,25.170000000000016,26.74663551401875,24.83688888888895,22.890000000000043,22.507616580310923,25.479444444444482,26.36341269841273,26.418492063492067,24.97595238095238,26.090873015873058,23.573680000000024,25.310952380952415,24.260079365079378,,24.312409638554243,24.131434262948233,24.273349282296692,26.438888888888926,27.54293650793653,29.573888888888916,27.753266932270947,29.73587301587304,31.552460317460373,32.92904761904765,33.277142857142906,37.62595238095241,37.08309523809527,,40.852380952381,41.44333333333333,39.74190476190478,39.8053174603175,33.89015873015876,32.744827586206895,30.57825396825399,,23.510000000000048
Malawi,Ntchisi,TA Chikho,MWI.23.4_1,,32.451333333333366,25.569844357976706,25.974724409448868,26.978494208494226,28.420000000000016,25.452342342342376,25.805731225296483,,,26.401971830985985,23.117772020725397,16.702000000000055,22.97734177215193,25.152237762237803,26.677202797202824,27.03769230769234,25.713566433566484,26.208111888111944,23.935405405405447,25.341468531468536,24.270559440559452,,23.13105960264903,26.022640000000024,24.411650485436894,27.407762237762256,29.828181818181804,32.27622377622379,28.8776223776224,31.59027972027974,33.18825174825179,34.21965034965041,34.57531468531471,40.14237762237764,39.26216783216785,,41.2225174825175,42.26307692307694,42.50413427561841,45.97699300699304,36.24845588235297,32.29360360360363,31.00683615819213,,
Malawi,Ntchisi,TA Kalumo,MWI.23.5_1,41.65705882352944,31.850619469026583,28.298534031413624,25.921626506024154,25.410823970037484,28.2835483870968,24.792043795620486,23.55234920634922,25.00635514018694,25.680909090909097,25.597197452229352,25.45887772194311,23.560066445182713,25.42693574958821,26.538899521531107,27.33181528662419,29.14089171974524,27.188662420382173,27.509936305732538,25.042700964630285,27.277006369426772,26.931878980891724,25.734117647058838,26.830859872611484,26.18519108280259,25.899681528662427,29.33710191082804,30.692006369426792,32.478025477707035,29.98512738853509,32.462006369426774,33.632165605095565,34.99767515923571,34.67748407643319,39.40754777070066,38.526433121019124,,40.27907643312102,42.38350318471339,43.44079617834399,40.85455414012745,37.173662420382186,34.182797927461195,39.39382165605099,,
Malawi,Ntchisi,TA Kasakula,MWI.23.6_1,,,27.43976744186051,28.786,25.50555555555559,,28.14846153846156,26.535000000000025,,,27.166888888888934,27.103913043478315,26.41307692307697,24.474347826087012,25.70553191489364,27.78340425531917,27.48723404255321,26.950212765957474,27.15212765957449,25.495274725274726,26.46489361702129,25.26723404255324,27.07000000000005,25.394736842105317,24.819295774647912,25.90622641509441,27.64851063829792,30.219361702127685,32.66978723404259,29.264680851063872,33.11617021276601,34.544680851063845,34.51914893617021,35.64510638297878,40.465957446808545,40.671702127659614,,42.01404255319153,43.990212765957494,40.185957446808516,44.454255319148956,38.287380952381,,28.52000000000004,,23.710000000000036
Malawi,Ntchisi,TA Kasukula,MWI.23.7_1,,,24.60266666666672,26.80279999999999,25.873823529411766,,28.212307692307718,24.934800000000052,,,25.787480314960646,26.000270270270278,,22.49481927710849,24.684834437086124,24.859006622516574,25.49357615894047,24.333178807947036,24.8281456953643,22.094929577464825,23.61066225165564,23.30615894039738,16.870000000000005,23.42514705882354,22.798992248062063,23.55653846153848,25.34059602649006,26.653443708609302,28.539271523178797,26.67873239436625,28.689470198675508,30.587615894039743,31.52324503311263,31.249337748344374,35.90748344370866,36.28668874172189,,39.21503311258283,39.64046357615899,37.14059602649007,38.32019867549673,31.386598639455826,33.07301886792453,28.916666666666686,,22.195555555555586
Malawi,Phalombe,Lake Chilwa,MWI.24.1_1,24.46764705882356,27.252542372881408,28.241186440678007,28.501694915254234,28.763389830508515,26.70422680412372,24.700847457627162,27.58220338983051,26.525398230088513,20.910000000000025,25.62949152542376,23.26627118644069,23.439830508474643,24.967288135593265,22.754745762711877,23.461525423728858,23.33966101694915,22.110847457627187,22.934576271186472,20.745593220339003,21.537288135593258,19.42275862068965,18.491694915254243,19.722542372881378,19.45305084745769,20.124067796610234,21.665084745762726,22.177627118644068,21.599152542372906,20.491694915254243,20.694915254237287,22.28033898305091,22.100508474576316,23.993389830508477,25.185932203389825,25.22525423728814,,25.45932203389833,26.197457627118695,27.063220338983058,25.78627118644073,24.409152542372908,24.278474576271208,25.838305084745798,23.331505376344126,21.459113924050655
Malawi,Phalombe,TA Mkhumba,MWI.24.2_1,35.31,31.795066666666685,36.026796796796816,31.11595829195636,32.61996039603963,31.388000000000034,27.039362880886472,28.868525073746355,30.14801566579638,,29.000304818092502,27.91994974874376,26.93448087431699,28.68260654112987,26.99857427716853,28.77792527040316,28.550019665683408,27.85937931034482,28.305457227138675,25.040706243602926,28.523503937007888,25.627679449360926,25.40840807174891,27.221701081612593,28.510314650934163,28.77875122910524,30.00075712881022,31.696470009832865,31.112477876106254,31.845673549655885,33.14126843657823,36.2302753195674,36.832281219272375,39.52528023598825,40.797453294002025,41.69544739429699,,43.985771878072796,41.88925270403149,43.067207472959694,40.68411996066868,41.73643067846615,39.220463054187235,39.32034550839097,27.785737704918063,29.466200000000015
Malawi,Phalombe,TA Nazombe,MWI.24.3_1,,29.91293706293709,31.691624365482255,30.431208053691307,31.19063973063976,31.911103117506002,26.58878453038676,28.626549413735347,29.165105162523957,24.06630769230776,27.90644891122281,26.42683274021357,25.80516363636366,27.954857621440567,25.236791171477137,26.806314907872718,27.006884422110602,26.18378607809848,26.59938023450593,23.19325423728816,26.52835845896152,23.614865771812106,23.269643652561285,25.63040201005026,25.36949748743723,26.652010050251306,27.55073701842548,29.81147403685094,29.498442211055306,30.327889447236203,30.794656616415466,34.20896147403687,34.46973199329983,37.56216080402015,38.84601340033504,40.324472361809114,,41.05023450586265,36.477571189279786,38.68440536013401,38.482227805695175,39.19549413735342,37.97415410385264,38.574924623115635,27.22762711864408,28.65858666666668
Malawi,Rumphi,Lake Malawi,MWI.25.1_1,23.00600000000003,23.785581151832503,24.755284974093286,24.54770350404317,25.483955901426725,24.03404092071611,19.80846153846153,22.85496538994005,22.127151335311623,23.86066029539535,24.787993947254677,24.975879809770902,24.582159583694704,23.95098573281456,22.744627519719586,24.290813500649108,24.701811500216195,23.92027237354091,23.756528318201504,23.410631214872467,23.13479031560746,23.63495460440987,22.485842696629277,22.629031560743613,22.164932520679145,22.134686554258565,21.50722438391699,22.656294855166493,22.456813661910985,22.908573281452675,22.632040639861714,22.58312581063558,22.597081712062277,23.328011240812828,24.089325551232207,24.041790657439492,,24.837003891050642,25.310734976221397,24.548322524859543,25.018681366191117,24.763757025508028,25.54302768166093,23.005523573201003,24.75794290512175,22.134220183486264
Malawi,Rumphi,Nyika National Park - Rumphi,MWI.25.2_1,22.096603773584945,25.60220779220782,24.918000000000006,,25.114661399548538,14.486521739130467,,22.720140158440017,19.187827715355866,19.807115942028986,21.991849075462312,20.534854586129825,17.79664634146343,20.08969811320759,18.7239841089671,18.96539260969979,21.363010484273616,20.711727408886702,19.41003028773349,17.207809675704425,20.547111444277903,19.005800308800872,17.542567801500354,17.852330097087417,19.12255766273711,18.9341870350691,20.880949432404577,21.18282076884674,24.819355966050978,24.548112830753894,26.085307039440863,26.082383367139983,28.547144283574653,29.17830169830171,32.19732900649029,31.44647528706946,,36.35939590614083,36.17603095356969,31.786172588832528,31.523677872553947,30.124124748490942,28.94847200418633,23.76251439539351,23.021146496815277,
Malawi,Rumphi,Rumphi Boma,MWI.25.3_1,,,,22.720000000000027,31.471250000000055,,,26.388750000000016,24.861111111111143,22.010000000000048,27.95500000000004,26.95875000000001,26.066250000000025,26.272500000000036,25.917500000000018,26.80250000000001,27.14625000000001,27.710000000000036,25.792500000000018,26.053750000000036,26.391250000000014,26.11375000000004,23.535000000000025,26.70750000000004,27.273750000000007,26.97750000000002,27.51750000000004,29.14250000000004,31.14625000000001,31.428750000000036,32.09375000000006,32.96625,34.66750000000002,36.23375000000004,38.59125,38.45875000000001,,40.31,42.76750000000004,41.39875000000001,41.982500000000016,37.52125000000001,44.98875000000004,34.20875000000001,40.58733333333339,
Malawi,Rumphi,SC Chapinduka,MWI.25.4_1,,26.567837837837885,26.029130434782644,,28.02370967741939,,,21.444583333333355,,22.51107526881725,22.70129032258069,22.253902439024444,21.828064516129018,22.419761904761913,19.67735042735046,22.424789915966414,23.06258064516129,22.55338709677426,20.172096774193562,18.508390804597695,20.647741935483907,19.317731092437043,18.62806451612903,18.614181818181862,19.456133333333355,19.594418604651196,19.563719008264457,22.174516129032327,23.19419354838709,23.54645161290324,23.011935483871014,23.987903225806463,24.420000000000016,26.320645161290372,28.903709677419386,29.544516129032274,,32.85290322580647,33.58516129032262,32.396612903225844,33.33645161290326,31.25935483870967,32.390161290322624,25.164545454545475,24.556923076923113,24.83315789473687
Malawi,Rumphi,SC Kachulu,MWI.25.5_1,,32.18483870967748,,29.83000000000004,28.67740740740743,,,25.95790123456794,19.78333333333336,22.49285714285719,23.790987654321043,23.76558823529416,22.73333333333335,23.16317647058827,23.70500000000004,23.450000000000045,23.46382716049385,24.28802469135809,20.174426229508242,19.55065217391308,22.210377358490575,20.987049180327915,17.595882352941203,20.476913580246958,19.818666666666672,21.691250000000025,21.24527272727272,23.409506172839542,25.03777777777782,25.97654320987658,25.88012345679016,23.49096551724142,26.727283950617277,27.15345679012347,30.585679012345736,29.951728395061764,,33.374938271605004,34.12592592592597,33.53555555555556,34.1646913580247,33.15650000000005,32.30530864197533,25.45040000000006,27.293789473684285,
Malawi,Rumphi,SC Mwahenga,MWI.25.6_1,,33.03315789473686,29.063504273504293,,29.186477987421426,,,24.478750000000048,22.242647058823536,25.31046511627909,25.082052980132516,24.361625000000004,23.69691176470593,24.407567567567583,23.374782608695682,24.072461538461596,24.486125000000015,24.383875000000046,23.11075471698115,22.266923076923092,23.224500000000035,21.677483870967762,20.841147540983627,20.38277777777779,22.580128205128233,22.701139240506393,23.220847457627144,26.09687500000001,25.977250000000026,27.95987500000001,28.110000000000014,27.952125000000024,29.476500000000044,30.201500000000067,34.47112500000003,34.07587500000005,,38.23112500000002,40.151250000000005,38.809375000000045,40.48825000000005,37.92625000000004,37.944375000000036,29.921194968553493,25.698000000000036,25.99000000000001
Malawi,Rumphi,SC Mwalweni,MWI.25.7_1,,33.35086956521741,28.107176470588286,29.596379310344844,28.823754152823938,,,25.751360544217732,21.693409090909086,23.495882352941237,24.617176079734293,24.236867924528326,23.716844919786126,23.451696428571438,22.763932584269696,21.939729729729777,24.37637873754153,24.68362126245853,22.088884758364372,20.694310344827613,22.490863787375474,21.975860805860805,20.465049504950514,20.431608040201013,21.66218045112788,22.396055776892467,22.305638297872406,24.784219269103005,24.85126245847181,26.439435215946844,26.14455149501663,25.73946308724834,27.81445182724252,28.450863787375454,31.967940199335544,31.971328903654523,,35.02926910299004,36.7855481727575,35.621495016611334,36.43232558139539,36.12714285714287,33.953920265780766,27.339317269076332,28.622657004830955,
Malawi,Rumphi,SC Mwankhunikira,MWI.25.8_1,,31.391724137931078,27.677103448275886,,28.659270216962568,,,23.35529562982009,24.930000000000007,25.542988047808763,24.79379241516972,24.43486597938147,22.70277108433737,22.823863636363683,22.289365994236334,22.879209932279934,24.298599605522725,23.73639053254442,22.082359081419668,20.242769953051663,22.368027613412266,21.36319238900637,19.6401369863014,20.61372591006426,22.820231481481528,22.33501118568239,22.51961923847699,24.524240631163707,26.239625246548314,26.136311637080894,26.82637080867852,27.041360946745556,28.39579881656806,29.16357001972392,32.95568047337281,33.42522682445764,,36.535443786982285,38.12952662721898,37.126923076923106,37.7704339250493,36.68936883629192,38.560414201183505,29.835582655826556,29.541572700296797,27.230000000000018
Malawi,Rumphi,TA Chikulamayembe,MWI.25.9_1,29.197272727272775,34.37296296296296,28.47754385964913,24.066774193548383,29.514094827586234,26.952500000000043,,25.298929729729764,23.86355932203395,23.088943089430927,25.69534482758621,26.075948275862117,25.19984848484853,24.22295039164493,23.987695262484067,25.397973997833162,25.77381465517243,26.30435344827589,25.113340517241397,23.462004310344867,24.88176724137935,24.770689655172475,22.22123783031992,24.628836206896608,25.43864224137934,25.339870689655186,26.38446120689656,27.72437500000001,29.845689655172464,30.316767241379353,30.98674568965521,32.13536637931037,34.193060344827586,36.44915948275866,38.092219827586234,37.940840517241384,,41.65780172413798,43.619482758620734,39.74398706896551,40.36282327586207,38.337909482758675,38.222650862068974,32.731434782608744,31.488356510745916,25.26857142857142
Malawi,Rumphi,TA Katumbi,MWI.25.10_1,31.157500000000027,,,,27.981914893617045,,,25.615652173913077,24.77680851063832,25.02148936170215,26.13787234042553,25.71744680851066,23.412197802197852,22.92772151898737,21.030512820512854,25.354680851063847,25.449787234042617,26.060000000000002,25.100425531914937,23.65106382978729,24.724468085106423,25.242553191489378,23.836595744680892,24.53000000000003,25.396808510638323,25.872978723404287,26.660212765957453,28.151702127659632,29.885744680851076,30.72808510638299,30.527021276595747,32.496808510638346,34.47319148936174,37.61340425531915,39.32404255319153,39.33340425531918,,43.41829787234042,44.33170212765964,37.49638297872343,36.80446808510641,34.088936170212776,33.26914893617021,30.054680851063836,28.98872340425538,
Malawi,Rumphi,TA Mwamlowe,MWI.25.11_1,,27.732500000000016,27.284081632653113,26.863333333333344,29.081979166666713,,,25.515693430656995,,24.698521739130456,24.416844919786115,24.129220779220816,23.775436893203903,23.406333333333407,20.566612903225803,23.309885714285713,23.988125000000025,23.750104166666688,21.17102857142862,19.61666666666673,21.940416666666692,20.964782608695657,20.507894736842104,19.39235294117651,20.00503546099293,21.368214285714316,20.770939597315476,23.322083333333353,24.121250000000032,24.57927083333334,24.041770833333374,24.798541666666722,25.465937500000052,27.082083333333344,29.770625000000052,29.714375000000018,,32.817395833333364,33.77729166666671,33.2116666666667,34.91416666666669,33.79541666666671,32.687916666666695,26.96973333333335,28.782117647058897,
Malawi,Rumphi,Vwaza Marsh Game Reserve - Rumphi,MWI.25.12_1,28.79327543424324,,26.83333333333337,26.32250996015938,27.932185491276414,,23.40686956521739,24.92450467289723,24.023960674157365,24.48045576407509,25.919035812672234,26.055619834710797,24.404710280373877,24.238222013170287,22.432582417582466,25.09308118081185,25.60808999081729,25.439641873278276,24.410110192837465,22.490018365472906,24.273250688705275,24.268806244260816,22.229343283582125,24.589651056014702,24.852901744719986,25.093415977961456,26.193452708907273,28.0973278236915,30.0805785123967,30.380835629017497,30.24166207529845,32.63194674012857,34.90098255280077,37.607612488521625,39.314168962350834,38.42250688705235,,41.960303030303066,43.74261707988984,37.16426997245185,35.686014692378365,34.08537190082649,32.9240863177227,29.815876951331518,28.96955508474582,18.670000000000016
Malawi,Salima,Lake Malawi,MWI.26.1_1,23.757722772277248,24.999095519864795,23.128691275167853,24.506198083067147,25.582373134328407,,24.522187234042576,24.780616184112887,24.84121654501223,23.450051020408182,25.663591078066986,25.355741029641194,23.800481540931003,25.32967840735074,24.27503340757238,24.477943578322197,25.57960653303644,24.907683741648157,24.824788418708238,22.610148478099518,23.27345953971792,23.10731254639944,22.132923433874737,22.91998507462688,22.471162444113304,22.75429850746275,23.676087602078724,24.413533778767658,24.813266518188584,24.387817371937672,24.84970304380107,25.54437268002971,26.05157386785453,26.898225686711214,28.568841870824087,28.4886933927246,,28.941358574610263,29.701210096510806,29.38423476968802,28.707102526002984,28.541622641509434,25.669218139171278,26.059443137254902,23.179211618257284,26.337665706051894
Malawi,Salima,Salima Town,MWI.26.2_1,,,,30.57800000000003,30.76600000000002,,29.295000000000016,32.55500000000001,,,30.388823529411752,,27.729000000000042,29.20500000000004,30.25900000000007,30.533000000000015,30.95900000000006,31.341000000000008,30.321000000000026,27.923000000000002,29.726,28.858000000000004,27.765000000000043,29.39500000000004,28.686000000000035,29.01600000000002,30.321000000000026,32.89700000000005,34.13400000000007,33.48900000000003,34.00400000000002,36.90400000000005,38.35300000000001,39.36600000000004,42.545000000000016,42.27400000000006,,45.579000000000065,45.15100000000001,42.791,39.660000000000025,35.00400000000002,35.1047368421053,35.016153846153884,22.950000000000045,
